product_title,product_sku,old_price,new_price,url
AQUA MESIN CUCI 1 TABUNG TOP LOAD WASHER AQW-98DD(BK),AQW-98DD(BK),2.739.000,2.439.000,https://myhartono.com/en/aqua-mesin-cuci-1-tabung-top-load-washer-aqw-98dd-bk/?source_cid=1955
AQUA MESIN CUCI 1 TABUNG TOP LOAD WASHER AQW-88DD(BK),AQW-88DD(BK),2.389.000,2.099.000,https://myhartono.com/en/aqua-mesin-cuci-1-tabung-top-load-washer-aqw-88dd-bk/?source_cid=1955
AQUA SHOWCASE DISPLAY COOLER AQB-231,AQB-231,4.559.000,3.599.000,https://myhartono.com/en/aqua-showcase-display-cooler-aqb-231/?source_cid=1955
AQUA KULKAS SIDE BY SIDE REFRIGERATOR AQR-605IG(GB),AQR-605IG(GB),11.579.000,10.279.000,https://myhartono.com/en/aqua-kulkas-side-by-side-refrigerator-aqr-605ig-gb/?source_cid=1955
AQUA FREEZER BOX CHEST FREEZER AQF-150TF,AQF-150TF,3.769.000,2.989.000,https://myhartono.com/en/aqua-freezer-box-chest-freezer-aqf-150tf/?source_cid=1955
AQUA FREEZER BOX CHEST FREEZER AQF-220TF,AQF-220TF,4.189.000,3.299.000,https://myhartono.com/en/aqua-freezer-box-chest-freezer-aqf-220tf/?source_cid=1955
AQUA MESIN CUCI FRONT LOADING WASHER FQW-700829QD,FQW-700829QD,4.089.000,3.599.000,https://myhartono.com/en/aqua-mesin-cuci-front-loading-washer-fqw-700829qd/?source_cid=1955
AQUA SHOWCASE DISPLAY COOLER AQB-50,AQB-50,2.019.000,1.599.000,https://myhartono.com/en/aqua-showcase-display-cooler-aqb-50/?source_cid=1955
AQUA KULKAS SIDE BY SIDE REFRIGERATOR AQR-565IM(GB),AQR-565IM(GB),9.069.000,8.099.000,https://myhartono.com/en/aqua-kulkas-side-by-side-refrigerator-aqr-565im-gb/?source_cid=1955
AQUA MESIN CUCI 1 TABUNG TOP LOAD WASHER AQW-78DD(BK),AQW-78DD(BK),2.249.000,1.799.000,https://myhartono.com/en/aqua-mesin-cuci-1-tabung-top-load-washer-aqw-78dd-bk/?source_cid=1955
AQUA KULKAS 2 PINTU KECIL 2 DOOR SMALL REFRIGERATOR AQR-355IG(BK)VN,AQR-355IG(BK)VN,5.949.000,5.359.000,https://myhartono.com/en/aqua-kulkas-2-pintu-kecil-2-door-small-refrigerator-aqr-355ig-bk-vn/?source_cid=1955
AQUA KULKAS 2 PINTU KECIL 2 DOOR SMALL REFRIGERATOR AQR-405IG(BK),AQR-405IG(BK),7.019.000,6.299.000,https://myhartono.com/en/aqua-kulkas-2-pintu-kecil-2-door-small-refrigerator-aqr-405ig-bk/?source_cid=1955
AQUA MESIN CUCI 1 TABUNG TOP LOAD WASHER AQW-910DD(G),AQW-910DD(G),3.099.000,2.739.000,https://myhartono.com/en/aqua-mesin-cuci-1-tabung-top-load-washer-aqw-910dd-g/?source_cid=1955
AQUA KULKAS MULTIDOOR REFRIGERATOR AQR-IG645AM(GB),AQR-IG645AM(GB),14.299.000,12.799.000,https://myhartono.com/en/aqua-kulkas-multidoor-refrigerator-aqr-ig645am-gb/?source_cid=1955
AQUA KULKAS SIDE BY SIDE REFRIGERATOR AQR-605IM(GB),AQR-605IM(GB),10.279.000,9.099.000,https://myhartono.com/en/aqua-kulkas-side-by-side-refrigerator-aqr-605im-gb/?source_cid=1955
"AQUA 32"" ANDROID LED TV HD READY LE32AQT6600G",LE32AQT6600G,2.339.000,1.799.000,https://myhartono.com/en/aqua-32-android-led-tv-hd-ready-le32aqt6600g/?source_cid=1955
AQUA KULKAS MULTIDOOR REFRIGERATOR AQR-IM525AM(GB),AQR-IM525AM(GB),10.349.000,8.599.000,https://myhartono.com/en/aqua-kulkas-multidoor-refrigerator-aqr-im525am-gb/?source_cid=1955
AQUA MESIN CUCI 2 TABUNG SEMI AUTO WASHER QW950XT,QW950XT,1.749.000,1.559.000,https://myhartono.com/en/aqua-mesin-cuci-2-tabung-semi-auto-washer-qw950xt/?source_cid=1955
AQUA MESIN CUCI 1 TABUNG TOP LOAD WASHER AQW-810DD(G),AQW-810DD(G),2.819.000,2.499.000,https://myhartono.com/en/aqua-mesin-cuci-1-tabung-top-load-washer-aqw-810dd-g/?source_cid=1955
AQUA KULKAS 2 PINTU KECIL 2 DOOR SMALL REFRIGERATOR AQR-320RBG(BK),AQR-320RBG(BK),7.659.000,6.809.000,https://myhartono.com/en/aqua-kulkas-2-pintu-kecil-2-door-small-refrigerator-aqr-320rbg-bk/?source_cid=1955
AQUA MESIN CUCI 2 TABUNG SEMI AUTO WASHER QW-850XT,QW-850XT,1.589.000,1.399.000,https://myhartono.com/en/aqua-mesin-cuci-2-tabung-semi-auto-washer-qw-850xt/?source_cid=1955
AQUA KULKAS COMPACT REFRIGERATOR AQRD50F SERIES,AQRD50F(W),1.599.000,1.379.000,https://myhartono.com/en/aqua-kulkas-compact-refrigerator-aqrd50f-series/?combination=3974_11552&source_cid=1955
AQUA KULKAS 2 PINTU KECIL 2 DOOR SMALL REFRIGERATOR AQR-D275R,AQR-D275R(BD),3.759.000,3.459.000,https://myhartono.com/en/aqua-small-2-door-refrigerator-aqr-d275r-en/?combination=3977_11558&source_cid=1955
AQUA KULKAS 2 PINTU KECIL 2 DOOR SMALL REFRIGERATOR AQR-D275R(WBK),AQR-D275R(WBK),3.759.000,3.459.000,https://myhartono.com/en/aqua-kulkas-2-pintu-kecil-2-door-small-refrigerator-aqr-d275r-wbk/?source_cid=1955
